TagId,TagName,AssociatedEquipment,Section,SignalType,ParameterName,ParameterType,MeasurementUnit,MinimumRange,MaximumRange,Low,High,CreatedAt,UpdatedAt
AT_901,O2 % at Eco Outlet,150 TPH Boiler,Boiler,Analog Input,Oxygen analyser at economised outlet,Oxygen,%,0,25,0.5,,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
CB52_2,TIE Breaker,Grid,Turbine,Digital Input,TIE CB contact,Breaker Open,Run,0,1,,,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
CUR_604,AVR excitation current,AVR,Turbine,Analog Input,AVR excitation current,Current,Amp,0,25,,15,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
DI_701,Diff Expan.,30.85 MW Turbine,Turbine,Analog Input,Differential expansion,Vibration,MM,-5,5,-2,2,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
DT_901,Plenum Hopper Draught,Plenum Hopper,Boiler,Analog Input,Plenum hopper draught transmitter,Draught,MMWC,-200,200,,85,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
DT_902,Flue Gas Draught Before RSH,Flue Gas,Boiler,Analog Input,Flue gas draught before RSH,Draught,MMWC,-120,120,,,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
DT_903,Flue Gas Draught After RSH,Flue Gas,Boiler,Analog Input,Flue gas draught after RSH,Draught,MMWC,-120,120,,,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
DT_904,Flue Gas Draught After FSH,Flue Gas,Boiler,Analog Input,Flue gas draught after FSH,Draught,MMWC,-150,50,,,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
DT_905,Flue Gas Draught After LTSH,Flue Gas,Boiler,Analog Input,Flue gas draught after LTSH,Draught,MMWC,-200,0,,,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
DT_906,Flue Gas Draught After Economiser,Flue Gas,Boiler,Analog Input,Flue gas draught after economiser,Draught,MMWC,-300,0,,,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
DT_907,Flue Gas Draft After APH,Flue Gas,Boiler,Analog Input,Flue gas draught after tubular air heater,Draught,MMWC,-500,0,,,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
DT_908,Flue Gas At ESP,Flue Gas,Boiler,Analog Input,Flue gas at ESP outlet draught transmitter,Draught,MMWC,-600,0,,,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
DT_911,ID FAN-A DIS Dr.,ID Fan,Boiler,Analog Input,ID fan-A discharge draught transmitter,Draught,MMWC,-50,50,,,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
DT_912,SA FAN-B DIS Dr.,SA Fan,Boiler,Analog Input,SA fan-B discharge draught transmitter,Draught,MMWC,0,1200,,645,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
DT_913,SA FAN-A DIS Dr.,SA Fan,Boiler,Analog Input,SA fan-A discharge draught transmitter,Draught,MMWC,0,1200,,645,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
DT_914,FD FAN-A DIS Dr.,FD Fan,Boiler,Analog Input,FD fan-A discharge draught transmitter,Draught,MMWC,0,600,,295,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
DT_914A,DA FAN-A DIS Dr.,DA Fan,Boiler,Analog Input,DA Fan-A Discharge Draft Transmitter,Draught,MMWC,0,1200,,645,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
DT_915,FD FAN-B DIS Dr.,FD Fan,Boiler,Analog Input,FD fan-B discharge draught transmitter,Draught,MMWC,0,600,,295,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
DT_916,FD AIR Draught Scaph OL.,FD Fan,Boiler,Analog Input,FD air draught at outlet of FD fan scaph,Draught,MMWC,0,600,,295,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
DT_917,Sa Fan Air Draught After Scaph,SA Fan,Boiler,Analog Input,SA fan air draught after SA fan scaph,Draught,MMWC,0,1200,,645,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
DT_918,Fd Air Draught After Ah.,Air,Boiler,Analog Input,FD air draught after tubular air heater,Draught,MMWC,0,250,,120,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
DT_919,Sa Air Draught At Fur.,Air,Boiler,Analog Input,SA air draught at inlet of furnace,Draught,MMWC,0,1000,250,,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
DT_920,Fd Air Draught At Fur.,Air,Boiler,Analog Input,FD air draught at inlet of furnace,Draught,MMWC,-20,250,,120,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
EXP_IMP_MW,Grid Exp./Imp.,Grid,Turbine,Analog Input,Grid Export/Import,Export Load,MW,-40,40,,,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
FRE_611,Generator frequency,Turbine Alternator,Turbine,Analog Input,Generator frequency,Frequency,Hz,45,55,49.5,50.5,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
FT_202,Condensate to deaerator Flow,30.85 MW Turbine,Turbine,Analog Input,Condensate to deaerator flow transmitter,Flow,TPH,0,157.10000610351563,,,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
FT_500,Main Steam Flow.,150 TPH Boiler,Boiler,Analog Input,Main steam flow transmitter,Flow,TPH,0,220,,,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
FT_900A,Fd Fan Discharge Flow,FD Fan,Boiler,Analog Input,FD fan discharge flow transmitter,Flow,TPH,0,180,,,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
FT_901A,Sa Fan Discharge Flow,SA Fan,Boiler,Analog Input,SA fan discharge flow transmitter,Flow,TPH,0,120,,,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
kV_GRID,KV Grid,Grid,Turbine,Analog Input,kV grid,Voltage,Volt,0,150,,145,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
KW_601,Turbine Load,30.85 MW Turbine,Turbine,Analog Input,Turbine Load,Load,MW,0,40.200000762939453,,31,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
LT_500A,Drum Level,150 TPH Boiler Drum,Boiler,Analog Input,Drum level transmitter,Level,%,0,100,30,80,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
PT_101A,Inlet Steam Pr.,30.85 MW Turbine,Turbine,Analog Input,Inlet steam pressure transmitter,Pressure,Kg/cm²,0,140,85,108,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
PT_105A,Exhaust Steam Pr.,30.85 MW Turbine,Turbine,Analog Input,Exhaust steam pressure transmitter,Pressure,Kg/cm²,-1,1.5,-0.69999998807907104,,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
PT_506A,Main Steam Pr.,150 TPH Boiler,Boiler,Analog Input,Main steam pressure transmitter,Pressure,Kg/cm²,0,200,92,112,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
PT_900A,Furnace Pr.,150 TPH Boiler Furnace,Boiler,Analog Input,Furnace pressure transmitter,Pressure,MMWC,-300,300,-25,25,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
PT_901A,Hydraulic Drive-1 Pr.,Travelling Grate Drive,Boiler,Analog Input,Hydraulic Drive-1 Pressure,Pressure,Kg/cm²,0,50,,17,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
PT_901B,Hydraulic Drive-2 Pr.,Travelling Grate Drive,Boiler,Analog Input,Hydraulic Drive-2 Pressure,Pressure,Kg/cm²,0,50,,17,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
RCU_608,Generator R-phase current,Turbine Alternator,Turbine,Analog Input,Generator R-phase current,Current,Amp,0,2600,,2300,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
RYV_612,Generator RY line voltage,Turbine Alternator,Turbine,Analog Input,Generator RY line voltage,Voltage,Kv,0,13.199999809265137,10.5,11.5,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
SI_601,Turbine speed,30.85 MW Turbine,Turbine,Analog Input,Turbine speed,Speed,RPM,0,9999,,,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
SI_DE1,Drum extractor-1 Speed,Drum extractor,Boiler,Analog Input,Drum extractor-1 speed feedback,Speed,RPM,0,1476,,,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
SI_DE2,Drum extractor-2 Speed,Drum extractor,Boiler,Analog Input,Drum extractor-2 speed feedback,Speed,RPM,0,1476,,,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
SI_DE3,Drum extractor-3 Speed,Drum extractor,Boiler,Analog Input,Drum extractor-3 speed feedback,Speed,RPM,0,1476,,,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
SI_DE4,Drum extractor-4 Speed,Drum extractor,Boiler,Analog Input,Drum extractor-4 speed feedback,Speed,RPM,0,1476,,,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
SI_DE5,Drum extractor-5 Speed,Drum extractor,Boiler,Analog Input,Drum extractor-5 speed feedback,Speed,RPM,0,1476,,,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_1001,Furnace Temp. Front,150 TPH Boiler Furnace,Boiler,Thermocouple,Furnace Temp. Front side,Temperature,ºC,-270,1372,,845,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_600A,BFP-A Mot. DE Temp.,Boiler Feed Pump,Boiler,RTD,BFP-A motor bearing DE temp element,Temperature,ºC,-200,850,,80,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_600B,BFP-A Mot. NDE Temp.,Boiler Feed Pump,Boiler,RTD,BFP-A motor bearing NDE temp element,Temperature,ºC,-200,850,,80,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_600C,BFP-A Bearing DE Temp.,Boiler Feed Pump,Boiler,RTD,BFP-A bearing DE temperature element,Temperature,ºC,-200,850,,80,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_600D,BFP-A Bearing NDE Temp.,Boiler Feed Pump,Boiler,RTD,BFP-A bearing NDE temperature element,Temperature,ºC,-200,850,,80,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_601,Deaerator Outlet Temp.,Deaerator,Boiler,RTD,Deaerator outlet temperature element,Temperature,ºC,-200,850,,135,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_601A,BFP-B Mot. DE Temp.,Boiler Feed Pump,Boiler,RTD,BFP-B motor bearing DE temp element,Temperature,ºC,-200,850,,80,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_601B,BFP-B Mot. NDE Temp.,Boiler Feed Pump,Boiler,RTD,BFP-B motor bearing NDE temp element,Temperature,ºC,-200,850,,80,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
TE_601C,BFP-B Bearing. DE Temp.,Boiler Feed Pump,Boiler,RTD,BFP-B bearing DE temperature element,Temperature,ºC,-200,850,,80,2024-12-23 10:54:30.807000000,2024-12-23 10:54:30.807000000
