TagId,TagName,Area,IOType,Unit,ApplicationName,InstrumentDescription,MinimumRange,MaximumRange,Low,High,CreatedAt,UpdatedAt
_03_FT_040_B01,Ref Srn Juice Mass Flow ,MILL HOUSE,AI,TPH,Mill_House._03_FI_040_B01,REFINERY SJ MASS FLOW ,0,275,,,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
_07_PT_010_B01,Ref Exhaust Pr.,RAW HOUSE,AI,Kg/cm2,Boiling_House_C1._07_PT_010_B01,REFINERY EXHAUST Pr.,0,5,,1.3500000238418579,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
CAB,Cold Air Blower Motor ,REFINERY DRYER HOUSE,DI,Run,Boiling_House_C4.XO_M_CAB,COLD AIR BLOWER MOTOR ON  ,0,1,,,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
Comp_PT,Air Comp Pr.,RAW HOUSE,AI,Kg/Cm2,Boiling_House_C2.Comp_PT,AIR COMPPRESSOR Pr.,0,20,5,6.3000001907348633,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
DS_Cond_Flow,Ds Cond Flow,REFINERY QUAD,AI,TPH,Boiling_House_C2.DS_COND_FLOW,DS CONDENSET FLOW,0,130,,,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
DS_MASS_FLOW_DUMMY, Ds Srn Juice Mass Flow,MILL HOUSE,AI,TPH,Mill_House.DS_MASS_FLW_DUMMY, DS SJ MASS FLOW,0,400,,,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
DSC,Dry Seed Cry Motor,REFINERY DRYER HOUSE,DI,Run,Boiling_House_C4.XO_M_DSC,DRY SEED CRYSTALLIZER MOTOR ON  ,0,1,,,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
Ex_Flow_out,Ds Exhaust Flow ,REFINERY QUAD,AI,TPH,Boiling_House_C1.DS_EX_FLOW,DS EXHAUST FLOW ,0,100,,,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
FBD,Fluidized Bed Drier Motor,REFINERY DRYER HOUSE,DI,Run,Boiling_House_C4.XO_M_FBD,FLUIDIZED BED DRIER MOTOR ON  ,0,1,,,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
FI_RWF_102,Rotary Water Flow,MILL HOUSE,AI,m3/hr,Mill_House.FT_RWF_102,ROTARY WATER FLOW,0,180,,,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
FT_902,3 ATT Steam Flow,REFINERY QUAD,AI,TPH,Mill_House.FT_902,3 ATT STEAM FLOW,0,45,,,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
FT_903,Refinery Cond Flow,REFINERY QUAD,AI,m3/hr,Mill_House.FT_903,REFINERY CONDENSETE FLOW ,0,120,,,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
FT_IMWF_101,Imb Water  Flow,MILL HOUSE,AI,m3/hr,Mill_House.FT_IMWF_101,Imb WATER  FLOW,0,250,,,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
HAB,Hot Air Blower Motor ,REFINERY DRYER HOUSE,DI,Run,Boiling_House_C4.XO_M_HAB,HOT AIR BLOWER MOTOR ON  ,0,1,,,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
IDFB,Id Fan Blower Motor ,REFINERY DRYER HOUSE,DI,Run,Boiling_House_C4.XO_M_IDFB,ID FAN BLOWER MOTOR ON  ,0,1,,,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
JI_101,CC Current,MILL HOUSE,AI,Amps,Mill_House.JI_101,CANE CARRIER CURRENT ,0,220,,170,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
JI_102,FD Current ,MILL HOUSE,AI,Amps,Mill_House.JI_102,FEEDER DRUM CURRENT ,0,140,,112,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
JI_103,SCBelt Conveyor Current ,MILL HOUSE,AI,Amps,Mill_House.JI_103,SCBELT CONVEYOR CURRENT ,0,65,,45,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
JI_104,0 Mill Current  ,MILL HOUSE,AI,Amps,Mill_House.JI_104,0 MILL CURRENT  ,0,910,400,850,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
JI_105,Hot Water Imb Pump Current ,MILL HOUSE,AI,Amps,Mill_House.JI_105,HOT WATER Imb PUMP CURRENT ,0,120,,100,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
JI_106,Irc 1 Current ,MILL HOUSE,AI,Amps,Mill_House.JI_106,IRC 1 CURRENT ,0,115,,80,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
JI_107,Irc 2 Current ,MILL HOUSE,AI,Amps,Mill_House.JI_107,IRC 2 CURRENT ,0,83,,65,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
JI_108,Irc 3 Current ,MILL HOUSE,AI,Amps,Mill_House.JI_108,IRC 3 CURRENT ,0,85,,65,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
